貴 贵
擴 扩
沖 冲
誠 诚
璽 玺
鬚 须
樺 桦
倈 俫
譙 谯
駑 驽
誆 诓
頎 颀
鷳 鹇
艷 艳
魚 鱼
蠁 蚃
齕 龁
嚳 喾
洶 汹
懶 懒
鏨 錾
竄 窜
屨 屦
欄 栏
鵒 鹆
馱 驮
縉 缙
錫 锡
颮 飑
藥 药
鐿 镱
𠠎 𠚳
嬡 嫒
賓 宾
撳 揿
囉 啰
鸋 𫛢
蟈 蝈
騠 𫘨
傯 偬
鏃 镞
𨳑 𨸁
賜 赐
訌 讧
謎 谜
饃 馍
厴 厣
皰 疱
齎 赍
鏆 𨱌
縳 䌸
攜 携
篔 筼
換 换
鼉 鼍
嶠 峤
赬 赪
噓 嘘
偉 伟
剛 刚
騷 骚
銱 铞
紙 纸
儣 𠆲
鍤 锸
漬 渍
屆 届
鯨 鲸
掛 挂
嶔 嵚
擺 摆
曆 历
錘 锤
𢹿 𢬦
齪 龊
䦛 䦶
鷹 鹰
鮊 鲌
勩 勚
詎 讵
閆 闫
嬰 婴
逕 迳
勝 胜
預 预
繿 䍀
稏 䅉
輜 辎
穌 稣
嬈 娆
魯 鲁
俁 俣
誶 谇
諳 谙
濟 济
躑 踯
啢 唡
滬 沪
鈳 钶
剗 刬
嶁 嵝
談 谈
埡 垭
歟 欤
𧵳 䞌
紖 纼
駘 骀
譾 谫
鵐 鹀
續 续
𠏢 𠉗
騪 𩨄
𨳕 𨸀
韋 韦
隻 只
椏 桠
齜 龇
鷂 鹞
聳 耸
訃 讣
飛 飞
嗎 吗
曨 昽
嚲 亸
諶 谌
𪄕 𪉒
贏 赢
鰈 鲽
領 领
戱 戯
梲 棁
蓮 莲
悵 怅
紱 绂
貰 贳
臏 膑
嶇 岖
猙 狰
餼 饩
軨 𫐉
濘 泞
藝 艺
賁 贲
鸘 鹴
閫 阃
圇 囵
䱰 𩾋
瞜 䁖
誥 诰
斬 斩
磣 碜
顯 显
壇 坛
詭 诡
繭 茧
顙 颡
鑣 镳
鵃 鸼
罰 罚
樓 楼
颾 𩙫
鍺 锗
癱 瘫
譜 谱
饌 馔
嶗 崂
僉 佥
燈 灯
獎 奖
鎮 镇
緞 缎
驚 惊
𧳟 𧳕
鑹 镩
錈 锩
錨 锚
褘 袆
𩷰 𩾄
鱗 鳞
𪄆 𪉔
灠 漤
樣 样
樿 椫
烴 烃
礦 矿
鐎 𨱓
顆 颗
馬 马
𧜵 䙊
顬 颥
紆 纡
閘 闸
詠 咏
鉕 钷
鏉 𨱒
瘡 疮
鐍 𫔎
贔 赑
葉 叶
駔 驵
諛 谀
凙 𪞝
糴 籴
贅 赘
視 视
嶮 崄
籪 簖
奪 夺
𣾷 㳢
驃 骠
鄧 邓
鱒 鳟
閔 闵
奧 奥
販 贩
擬 拟
餌 饵
訂 订
澱 淀
貙 䝙
轢 轹
幹 干
鋤 锄
憲 宪
閱 阅
諼 谖
贓 赃
𦂅 𦈒
儂 侬
時 时
噲 哙
麲 𪎉
䞈 𧹑
幘 帻
簫 箫
綵 䌽
穩 稳
撝 㧑
繼 继
噚 㖊
狀 状
鏘 锵
涼 凉
釾 䥺
蔦 茑
殺 杀
獅 狮
貝 贝
詬 诟
喬 乔
𨵩 𨸆
煥 焕
幬 帱
㜏 㛣
黿 鼋
貫 贯
灝 灏
嘩 哗
獵 猎
𪔵 𪔭
鷯 鹩
贄 贽
啞 哑
鶗 𫛸
騧 䯄
閶 阊
鵑 鹃
鏺 䥽
艫 舻
諒 谅
縮 缩
鷲 鹫
渦 涡
將 将
餅 饼
瓏 珑
癮 瘾
樅 枞
總 总
積 积
驄 骢
鈇 𫓧
頰 颊
繚 缭
聾 聋
嘰 叽
錒 锕
斷 断
裡 里
輦 辇
褌 裈
試 试
緩 缓
膩 腻
𨊰 䢀
鶩 鹜
𩤙 𩨆
僨 偾
閩 闽
騍 骒
鐋 铴
傖 伧
綇 𦈋
熾 炽
瞘 眍
騸 骟
濄 㳡
鵝 鹅
師 师
煢 茕
鈔 钞
㜢 𡞱
塊 块
𩿪 𪉄
䱬 𩾊
繟 𦈎
癲 癫
勱 劢
實 实
嚨 咙
購 购
縗 缞
緬 缅
硤 硖
層 层
鑞 镴
罷 罢
綐 䌼
讋 詟
謐 谧
鱤 鳡
餃 饺
繪 绘
瀦 潴
鍋 锅
𩤲 𩨉
輕 轻
斕 斓
謁 谒
侶 侣
薩 萨
締 缔
阪 坂
勢 势
翹 翘
蟯 蛲
饅 馒
鋃 锒
聖 圣
鈲 𨱃
誇 夸
澇 涝
䊭 𥺅
䁻 䀥
潑 泼
謳 讴
鮚 鲒
覦 觎
籋 𥬞
圞 𪢮
曠 旷
騤 骙
膽 胆
嗚 呜
讜 谠
帳 帐
㿧 𤽯
䋿 𦈓
樸 朴
覽 览
韓 韩
檟 槚
虆 蔂
瀝 沥
磠 硵
麨 𪎊
駃 𫘝
幃 帏
𤒎 𤊀
鸛 鹳
瑽 𪻐
漢 汉
簹 筜
掆 㧏
巰 巯
鈾 铀
鈠 𨱁
幺 么
詩 诗
鐙 镫
鮑 鲍
誦 诵
拋 抛
籜 箨
濰 潍
𨶏 𨸊
嫵 妩
釓 钆
謅 诌
莊 庄
鈒 钑
唚 吣
攬 揽
𦣎 𦟗
戰 战
傘 伞
璣 玑
𩢾 𩧮
從 从
覥 觍
欍 𣐤
萵 莴
䭀 𩠇
諝 谞
雲 云
鳼 𪉃
濕 湿
網 网
綻 绽
祿 禄
錙 锱
漿 浆
遷 迁
噅 𠯠
駢 骈
緰 𦈕
瀕 濒
𥌃 𥅘
籩 笾
醜 丑
鰌 䲡
敘 叙
綣 绻
皺 皱
軫 轸
慮 虑
錟 锬
礱 砻
廈 厦
繽 缤
玁 𤞤
饜 餍
詛 诅
綸 纶
澾 㳠
皸 皲
𪀾 𪉋
繻 𦈡
䝻 𧹕
邇 迩
糶 粜
幗 帼
軗 𨐅
硜 硁
賵 赗
鷈 䴘
氈 毡
廁 厕
壓 压
頜 颌
臍 脐
嚙 啮
鍚 钖
齬 龉
摯 挚
凜 凛
鸚 鹦
賑 赈
繳 缴
滸 浒
鋟 锓
灑 洒
蘿 萝
鈑 钣
譎 谲
鄶 郐
鰨 鳎
儕 侪
詡 诩
嗹 𪡏
籬 篱
蹺 跷
𣙎 㭣
嶴 岙
壋 垱
颷 𩙪
銛 铦
鐵 铁
絡 络
堝 埚
習 习
燾 焘
堖 垴
鐐 镣
氌 氇
濤 涛
刪 删
顏 颜
晉 晋
麗 丽
𩳤 𩲒
𩣑 䯃
匭 匦
說 说
價 价
醫 医
島 岛
嶺 岭
擰 拧
輗 𫐐
譸 诪
鎬 镐
𨎮 𨐉
腖 胨
臘 腊
簣 篑
簀 箦
鋼 钢
餳 饧
臠 脔
瘲 疭
嗆 呛
樫 㭴
廩 廪
蓽 荜
熓 𤆡
頻 频
齠 龆
璯 㻅
鴦 鸯
貞 贞
颺 飏
詗 诇
辯 辩
謖 谡
隸 隶
棶 梾
傭 佣
鑲 镶
璦 瑷
諑 诼
蠐 蛴
壠 垅
鶹 鹠
崗 岗
澤 泽
澠 渑
諧 谐
鑒 鉴
餺 馎
騚 𩨊
𩤸 𩨅
籌 筹
餛 馄
薦 荐
蘞 蔹
揚 扬
𧜗 䘞
甌 瓯
鋉 𨱈
鎢 钨
燜 焖
𨮂 𨱕
欞 棂
鮍 鲏
職 职
鿁 䜤
鮪 鲔
𥼽 𥹥
蓯 苁
饊 馓
鈺 钰
體 体
闕 阙
癭 瘿
戧 戗
驟 骤
蕪 芜
䢨 𨑹
嗶 哔
麼 么
彠 彟
摑 掴
淪 沦
鏝 镘
詰 诘
聯 联
緊 紧
櫬 榇
廚 厨
爭 争
鶻 鹘
暫 暂
鶖 鹙
懣 懑
尋 寻
東 东
薈 荟
磚 砖
閈 闬
譯 译
蕭 萧
鮄 𫚒
禿 秃
闍 阇
𩸦 𩾆
賊 贼
闈 闱
鉛 铅
䌖 𦈜
籟 籁
蕢 蒉
靦 腼
慣 惯
閣 阁
誚 诮
灡 㳕
憊 惫
輿 舆
誕 诞
錶 表
鎲 镋
氬 氩
儔 俦
妝 妆
臗 𣎑
卻 却
嫗 妪
緋 绯
麽 么
馮 冯
霽 霁
鰩 鳐
𡠹 㛿
蕷 蓣
薊 蓟
誣 诬
鄉 乡
𥨐 𥧂
沒 没
𩘺 𩙬
頂 顶
螄 蛳
羋 芈
觸 触
聲 声
茲 兹
擾 扰
膢 𦝼
硨 砗
鑥 镥
鏜 镗
軑 轪
鸝 鹂
闌 阑
颻 飖
腡 脶
櫃 柜
緣 缘
緘 缄
籔 䉤
奩 奁
歷 历
繓 𦈛
禍 祸
蹌 跄
𩟐 𩠅
檭 𣘴
饁 馌
摜 掼
攝 摄
廠 厂
瞤 𥆧
鈈 钚
鏞 镛
盜 盗
檔 档
禡 祃
殰 㱩
臨 临
鵚 𪉍
計 计
眥 眦
鑄 铸
夢 梦
牘 牍
緸 𦈑
蘺 蓠
貪 贪
劑 剂
蘇 苏
鍩 锘
艙 舱
鵬 鹏
鴴 鸻
軏 𫐄
現 现
鯝 鲴
鳩 鸠
嫻 娴
䲖 𩾂
鯉 鲤
書 书
帶 带
鷗 鸥
嶄 崭
檁 檩
嵼 𡶴
際 际
繰 缲
員 员
懷 怀
睍 𪾢
靚 靓
嘖 啧
箏 筝
鶇 鸫
韁 缰
禕 祎
軲 轱
凍 冻
鳾 䴓
繅 缫
曬 晒
鏦 𫓩
𩘀 𩙩
鶺 鹡
棄 弃
謹 谨
撻 挞
縐 绉
纜 缆
篤 笃
埰 采
賤 贱
擱 搁
巔 巅
潁 颍
褲 裤
緲 缈
鉚 铆
鴻 鸿
灤 滦
𩛩 𩠃
𨇞 𨅫
韞 韫
暉 晖
蕕 莸
竇 窦
鏇 镟
擊 击
間 间
騶 驺
輟 辍
檮 梼
藹 蔼
驊 骅
測 测
僅 仅
蟲 虫
撿 捡
銖 铢
𩢡 𩧬
驁 骜
檯 台
緇 缁
媽 妈
訥 讷
點 点
墾 垦
攔 拦
買 买
悞 悮
縝 缜
匱 匮
鷥 鸶
鍮 𨱎
𣯴 𣭤
鰠 鳋
題 题
鍶 锶
銨 铵
儀 仪
園 园
檉 柽
黷 黩
顧 顾
綱 纲
惱 恼
㓨 刾
騰 腾
鮁 鲅
掙 挣
該 该
顃 𩖖
鷊 鹝
礪 砺
賣 卖
鶯 莺
鴨 鸭
鱯 鳠
銬 铐
暘 旸
恆 恒
穠 秾
軒 轩
鵲 鹊
敗 败
瘞 瘗
瘍 疡
𩡺 𩧦
繞 绕
紇 纥
鑭 镧
𩠴 𩠠
詁 诂
電 电
磯 矶
韌 韧
綠 绿
輯 辑
𩥉 𩧱
鷫 鹔
脥 𣍰
絀 绌
𩘹 𩙨
線 线
韻 韵
瓔 璎
轍 辙
觶 觯
鏑 镝
錸 铼
擁 拥
罵 骂
臟 脏
顴 颧
䯀 䯅
䦟 䦷
輒 辄
鰒 鳆
讎 雠
鑷 镊
嚇 吓
瓚 瓒
䬝 𩙯
倆 俩
獄 狱
蘭 兰
𩝔 𩠋
櫱 蘖
駎 𩧨
騏 骐
槍 枪
躋 跻
橋 桥
瀆 渎
𩵩 𩽺
剝 剥
椲 㭏
謙 谦
瀲 潋
櫧 槠
鵯 鹎
鸂 㶉
閻 阎
綿 绵
蝸 蜗
灧 滟
閍 𨸂
覺 觉
過 过
彙 汇
鍔 锷
駙 驸
桿 杆
鶼 鹣
飄 飘
𪃍 𪉐
鍄 𨱉
鐲 镯
雙 双
襴 襕
駩 𩧴
鈕 钮
潰 溃
紀 纪
聰 聪
鱨 鲿
鮮 鲜
穢 秽
儲 储
詢 询
儉 俭
傳 传
剮 剐
龎 厐
愨 悫
曖 暧
鑊 镬
飼 饲
澮 浍
掗 挜
鰍 鳅
鋪 铺
䌰 𦈙
陣 阵
懾 慑
鱭 鲚
痙 痉
懀 𢙓
鑾 銮
燙 烫
複 复
鰏 鲾
鈸 钹
馭 驭
閨 闺
賙 赒
寶 宝
鯄 𩾁
鈷 钴
贛 赣
鍬 锹
邊 边
魟 𫚉
糲 粝
鵷 鹓
鉉 铉
𩗀 𩙦
鈰 铈
鵡 鹉
殤 殇
餡 馅
撐 撑
綌 绤
燒 烧
櫚 榈
陝 陕
鮜 鲘
嚦 呖
襬 䙓
軻 轲
絳 绛
